year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2010,12,OO,SkyWest Airlines Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",60.0,14.0,6.22,0.0,1.71,0.0,6.08,0.0,0.0,1083.0,445.0,0.0,130.0,0.0,508.0
2018,6,DL,Delta Air Lines Inc.,TYS,"Knoxville, TN: McGhee Tyson",78.0,21.0,6.8,1.23,5.08,0.0,7.88,0.0,1.0,2084.0,677.0,234.0,240.0,0.0,933.0
2014,12,MQ,Envoy Air,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",371.0,104.0,16.15,4.92,45.09,0.0,37.84,16.0,2.0,4864.0,860.0,320.0,1535.0,0.0,2149.0
2009,9,OH,Comair Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",111.0,23.0,9.05,0.0,12.95,0.0,1.0,0.0,0.0,1030.0,642.0,0.0,336.0,0.0,52.0
2014,4,DL,Delta Air Lines Inc.,RIC,"Richmond, VA: Richmond International",227.0,36.0,17.06,2.97,2.85,0.0,13.12,0.0,1.0,1332.0,705.0,121.0,93.0,0.0,413.0
2009,12,WN,Southwest Airlines Co.,SFO,"San Francisco, CA: San Francisco International",1309.0,449.0,67.04,25.28,172.09,0.0,184.59,29.0,2.0,27688.0,3103.0,1984.0,12404.0,0.0,10197.0
2010,5,XE,ExpressJet Airlines Inc.,LGA,"New York, NY: LaGuardia",78.0,16.0,0.34,0.83,12.29,0.0,2.54,1.0,0.0,1087.0,30.0,66.0,817.0,0.0,174.0
2006,8,AS,Alaska Airlines Inc.,OME,"Nome, AK: Nome Airport",93.0,24.0,2.36,0.24,1.21,0.0,20.19,5.0,0.0,1521.0,59.0,5.0,34.0,0.0,1423.0
2020,7,DL,Delta Air Lines Inc.,BIL,"Billings, MT: Billings Logan International",31.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,43.0,0.0,0.0
2011,11,WN,Southwest Airlines Co.,LBB,"Lubbock, TX: Lubbock Preston Smith International",263.0,44.0,16.95,2.88,4.66,0.0,19.5,2.0,0.0,2100.0,886.0,275.0,170.0,0.0,769.0
2006,1,TZ,ATA Airlines d/b/a ATA,HNL,"Honolulu, HI: Daniel K Inouye International",133.0,26.0,4.23,0.0,18.83,0.02,2.91,1.0,0.0,1648.0,362.0,0.0,1110.0,11.0,165.0
2006,6,B6,JetBlue Airways,BQN,"Aguadilla, PR: Rafael Hernandez",91.0,30.0,9.73,0.0,6.93,0.66,12.68,0.0,1.0,1943.0,542.0,0.0,227.0,24.0,1150.0
2011,3,EV,Atlantic Southeast Airlines,PHL,"Philadelphia, PA: Philadelphia International",41.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,58.0,40.0,0.0,18.0,0.0,0.0
2019,7,EV,ExpressJet Airlines LLC,SLC,"Salt Lake City, UT: Salt Lake City International",26.0,4.0,0.38,0.97,1.73,0.0,0.91,0.0,0.0,334.0,18.0,220.0,51.0,0.0,45.0
2022,5,QX,Horizon Air,LAX,"Los Angeles, CA: Los Angeles International",110.0,15.0,4.28,0.0,5.18,0.0,5.54,2.0,0.0,899.0,238.0,0.0,121.0,0.0,540.0
2020,4,F9,Frontier Airlines Inc.,SAN,"San Diego, CA: San Diego International",31.0,2.0,0.21,0.0,1.79,0.0,0.0,18.0,0.0,70.0,9.0,0.0,61.0,0.0,0.0
2016,3,AA,American Airlines Inc.,FAT,"Fresno, CA: Fresno Yosemite International",59.0,9.0,3.06,0.38,0.62,0.0,4.93,1.0,0.0,666.0,210.0,62.0,36.0,0.0,358.0
2020,9,F9,Frontier Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0
2011,2,OO,SkyWest Airlines Inc.,RSW,"Fort Myers, FL: Southwest Florida International",10.0,1.0,0.83,0.0,0.17,0.0,0.0,0.0,0.0,59.0,49.0,0.0,10.0,0.0,0.0
2009,1,YV,Mesa Airlines Inc.,TUS,"Tucson, AZ: Tucson International",279.0,30.0,25.0,1.0,4.0,0.0,0.0,0.0,0.0,1119.0,908.0,130.0,81.0,0.0,0.0
2005,7,OH,Comair Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",129.0,28.0,20.05,4.52,3.43,0.0,0.0,4.0,0.0,1175.0,903.0,150.0,122.0,0.0,0.0
2012,12,WN,Southwest Airlines Co.,LGA,"New York, NY: LaGuardia",485.0,134.0,32.5,15.11,48.66,0.75,36.97,6.0,2.0,10474.0,2639.0,1889.0,2981.0,12.0,2953.0
2015,9,EV,ExpressJet Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",2661.0,436.0,58.73,10.58,223.45,0.0,143.24,39.0,1.0,25952.0,4791.0,928.0,11352.0,0.0,8881.0
2010,10,9E,Pinnacle Airlines Inc.,ALB,"Albany, NY: Albany International",62.0,13.0,7.27,0.0,2.18,0.0,3.55,0.0,0.0,482.0,315.0,0.0,54.0,0.0,113.0
2003,6,MQ,American Eagle Airlines Inc.,ISP,"Islip, NY: Long Island MacArthur",89.0,20.0,7.19,0.0,4.27,0.0,8.54,1.0,0.0,874.0,392.0,0.0,126.0,0.0,356.0
2003,8,DL,Delta Air Lines Inc.,TPA,"Tampa, FL: Tampa International",920.0,195.0,51.9,3.88,96.49,0.0,42.73,11.0,1.0,9949.0,2895.0,203.0,3603.0,0.0,3248.0
2013,9,YV,Mesa Airlines Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,5,DL,Delta Air Lines Inc.,SJU,"San Juan, PR: Luis Munoz Marin International",217.0,21.0,9.89,0.37,7.91,0.0,2.83,0.0,0.0,822.0,440.0,14.0,272.0,0.0,96.0
2008,3,UA,United Air Lines Inc.,GUC,"Gunnison, CO: Gunnison-Crested Butte Regional",18.0,5.0,2.81,0.0,1.39,0.0,0.8,1.0,0.0,126.0,84.0,0.0,30.0,0.0,12.0
2014,8,WN,Southwest Airlines Co.,IAD,"Washington, DC: Washington Dulles International",203.0,64.0,24.91,4.65,12.58,0.0,21.85,0.0,1.0,3806.0,1463.0,378.0,589.0,0.0,1376.0
2015,4,EV,ExpressJet Airlines Inc.,SAV,"Savannah, GA: Savannah/Hilton Head International",336.0,50.0,18.95,0.0,11.72,0.0,19.34,7.0,3.0,3732.0,1304.0,0.0,747.0,0.0,1681.0
2015,4,VX,Virgin America,SAN,"San Diego, CA: San Diego International",135.0,15.0,4.93,0.22,0.0,0.0,9.84,0.0,0.0,769.0,382.0,4.0,0.0,0.0,383.0
2022,3,B6,JetBlue Airways,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",115.0,42.0,15.89,0.5,13.87,0.0,11.74,7.0,0.0,3842.0,1389.0,100.0,884.0,0.0,1469.0
2005,2,RU,ExpressJet Airlines Inc.,DAL,"Dallas, TX: Dallas Love Field",212.0,28.0,7.13,2.57,9.46,0.0,8.84,3.0,0.0,972.0,232.0,121.0,280.0,0.0,339.0
2006,10,OH,Comair Inc.,BNA,"Nashville, TN: Nashville International",309.0,122.0,66.59,11.92,36.66,0.81,6.02,1.0,0.0,6122.0,3409.0,495.0,1467.0,65.0,686.0
2010,3,EV,Atlantic Southeast Airlines,SAV,"Savannah, GA: Savannah/Hilton Head International",157.0,28.0,10.09,0.0,8.1,0.0,9.81,2.0,0.0,1707.0,648.0,0.0,210.0,0.0,849.0
2003,7,NW,Northwest Airlines Inc.,SDF,"Louisville, KY: Louisville Muhammad Ali International",154.0,29.0,13.07,0.42,12.88,0.0,2.63,3.0,0.0,1429.0,696.0,26.0,529.0,0.0,178.0
2004,8,WN,Southwest Airlines Co.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",2175.0,488.0,95.5,1.3,55.89,2.41,332.91,16.0,0.0,20218.0,3487.0,120.0,1631.0,43.0,14937.0
2021,6,AA,American Airlines Inc.,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",128.0,25.0,10.25,2.1,6.33,0.0,6.32,1.0,0.0,1103.0,416.0,140.0,228.0,0.0,319.0
2011,10,UA,United Air Lines Inc.,TUL,"Tulsa, OK: Tulsa International",31.0,4.0,1.0,0.39,0.51,0.0,2.09,0.0,1.0,151.0,49.0,11.0,16.0,0.0,75.0
2022,5,UA,United Air Lines Inc.,SAN,"San Diego, CA: San Diego International",783.0,141.0,45.05,2.25,28.79,0.0,64.91,12.0,1.0,9168.0,2517.0,145.0,1209.0,0.0,5297.0
2004,10,OO,SkyWest Airlines Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",93.0,9.0,6.0,2.0,0.0,0.0,1.0,2.0,0.0,266.0,214.0,34.0,0.0,0.0,18.0
2009,10,DL,Delta Air Lines Inc.,LIH,"Lihue, HI: Lihue Airport",23.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0
2003,8,UA,United Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",4101.0,588.0,135.01,25.34,282.27,0.0,145.38,41.0,2.0,35375.0,9017.0,2104.0,11700.0,0.0,12554.0
2005,7,MQ,American Eagle Airlines Inc.,TOL,"Toledo, OH: Toledo Express",148.0,34.0,9.33,1.0,7.98,1.0,14.68,8.0,1.0,2474.0,528.0,126.0,711.0,70.0,1039.0
2009,2,NW,Northwest Airlines Inc.,BIL,"Billings, MT: Billings Logan International",19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,8,EV,ExpressJet Airlines LLC,ORD,"Chicago, IL: Chicago O'Hare International",184.0,17.0,1.83,1.93,11.5,0.0,1.74,0.0,1.0,945.0,151.0,158.0,439.0,0.0,197.0
2005,11,NW,Northwest Airlines Inc.,MHT,"Manchester, NH: Manchester-Boston Regional",135.0,25.0,11.73,1.98,10.06,0.0,1.23,0.0,3.0,979.0,561.0,78.0,308.0,0.0,32.0
